tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10090	Mus musculus	66681	0	live	Pgm2	3230402E02Rik, Pgm-1, Pgm1	phosphoglucomutase 2	phosphoglucomutase-2|glucose phosphomutase 2|phosphodeoxyribomutase|phosphoglucomutase 1|phosphopentomutase	5 32.8 cM	5	NC_000071.7	64250258	64285698	plus	15		
10090	Mus musculus	72157	0	live	Pgm1	2610020G18Rik, Pgm-2a, Pgm2, Pgm1	phosphoglucomutase 1	phosphoglucomutase-1|glucose phosphomutase 1|phosphoglucomutase 2	4 45.71 cM	4	NC_000070.7	99786648	99844491	plus	12		
9606	Homo sapiens	55276	0	live	PGM2	MSTP006	phosphoglucomutase 2	phosphopentomutase|PGM 2|glucose phosphomutase 2|phosphodeoxyribomutase	4p14	4	NC_000004.12	37826686	37862937	plus	15	172000	
9606	Homo sapiens	283209	0	live	PGM2L1	BM32A, NEDHFS, PMMLP	phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase	11q13.4	11	NC_000011.10	74330316	74398433	minus	15	611610	
10116	Rattus norvegicus	289632	0	live	Pgm2		phosphoglucomutase 2	phosphopentomutase	14p11	14	NC_086032.1	44519906	44553420	minus	15		
10090	Mus musculus	70974	0	live	Pgm2l1	4931406N15Rik, BM32A	phosphoglucomutase 2-like 1	glucose 1,6-bisphosphate synthase	7 54.33 cM	7	NC_000073.7	99876471	99928079	plus	15		
10116	Rattus norvegicus	685076	0	live	Pgm2l1		phosphoglucomutase 2-like 1	glucose 1,6-bisphosphate synthase	1q32	1	NC_086019.1	163983917	164033027	plus	14		
9544	Macaca mulatta	718887	0	live	PGM2L1	EGK_06673	phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		14	NC_041767.1	67392682	67453391	minus	15		
9031	Gallus gallus	426435	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_052535.1	69315359	69332649	minus	14		
9913	Bos taurus	515366	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		15	NC_037342.1	53707092	53759583	minus	14		
9913	Bos taurus	506980	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		6	NC_037333.1	57145040	57182341	plus	14		
9601	Pongo abelii	100190836	0	live	PGM2	CR201_G0035990	phosphoglucomutase 2	phosphopentomutase|Glucose phosphomutase 2|PGM 2|Phosphoglucomutase-2|phosphodeoxyribomutase		3	NC_071988.2	37150119	37185542	plus	14		
9601	Pongo abelii	100172923	0	live	PGM2L1	CR201_G0023320	phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		9	NC_071994.2	76382220	76448600	minus	17		
9031	Gallus gallus	419052	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_052532.1	194542295	194581626	minus	15		
9544	Macaca mulatta	100424648	0	live	PGM2		phosphoglucomutase 2	phosphoglucomutase-2		5	NC_041758.1	36963040	36998765	plus	14		
9615	Canis lupus familiaris	485198	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		21	NC_051825.1	24121151	24175865	plus	14		
9615	Canis lupus familiaris	479116	0	live	PGM2		phosphoglucomutase 2	phosphoglucomutase-2		3	NC_051807.1	75124548	75163434	minus	14		
9598	Pan troglodytes	461162	0	live	PGM2	CK820_G0007502	phosphoglucomutase 2	phosphoglucomutase-2|phosphopentomutase		3	NC_072401.2	38148167	38183862	plus	14		
9598	Pan troglodytes	451420	0	live	PGM2L1	CK820_G0021789	phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		9	NC_072407.2	76363367	76431686	minus	14		
9598	Pan troglodytes	743647	0	live	METTL6	CK820_G0008821, PGM2L1	methyltransferase 6, tRNA N3-cytidine	methyltransferase-like protein 6|tRNA N(3)-methylcytidine methyltransferase METTL6|methyltransferase 6, methylcytidine|methyltransferase like 6|phosphoglucomutase 2-like 1		2	NC_086015.1	19387806	19432378	minus	11		
9669	Mustela putorius furo	101677615	0	live	PGM2		phosphoglucomutase 2	phosphoglucomutase-2		Un	NW_025421273.1	42096803	42132162	plus	14		
9669	Mustela putorius furo	101693518	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_025422126.1	5139507	5193513	minus	16		
89462	Bubalus bubalis	102394216	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		16	NC_059172.1	31094004	31154860	plus	14		
8932	Columba livia	102089885	0	live	PGM2L1	A306_10973	phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_088602.1	1991995	2038102	minus	14		
51338	Castor canadensis	109689986	0	live	Pgm1	PGM2	phosphoglucomutase 1	phosphoglucomutase-1|phosphoglucomutase-2		7	NC_133392.1	110802222	110875174	minus	13		
51338	Castor canadensis	109685153	0	live	Pgm2	PGM1	phosphoglucomutase 2	phosphopentomutase|phosphoglucomutase-1		9	NC_133394.1	124439207	124466523	minus	14		
51338	Castor canadensis	109681954	0	live	Pgm2l1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_133386.1	133621481	133677869	plus	15		
1026970	Nannospalax galili	103749823	0	live	Pgm2l1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_008355472.1	134036	191364	plus	15		
1026970	Nannospalax galili	103734333	0	live	Pgm2		phosphoglucomutase 2	phosphoglucomutase-2		Un	NW_008338710.1	1286714	1326929	plus	14		
9402	Pteropus alecto	102894374	0	live	PGM2L1	PAL_GLEAN10025495	phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase|Glucose 1,6-bisphosphate synthase		Un	NW_006494614.1	45988667	46040079	minus	14		
72004	Bos mutus	102281562	0	live	PGM2L1	M91_09995	phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase|Glucose 1,6-bisphosphate synthase		15	NC_091631.1	28441257	28503286	plus	14		
109478	Myotis brandtii	102257982	0	live	PGM2	D623_10002025	phosphoglucomutase 2	phosphoglucomutase-2|Phosphoglucomutase-2		Un	NW_005355145.1	101795	133245	minus	15		
10181	Heterocephalus glaber	101710764	0	live	Pgm2l1	GW7_02095	phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase|Glucose 1,6-bisphosphate synthase		Un	NW_004624817.1	2664227	2761141	plus	15		
10029	Cricetulus griseus	100761029	0	live	Pgm2		phosphoglucomutase 2	phosphoglucomutase-2|Phosphoglucomutase-2		1	NW_003615951.1	118401	150182	minus	14		
9823	Sus scrofa	100522261	0	live	PGM2		phosphoglucomutase 2	phosphoglucomutase-2		8	NC_010450.4	29307628	29343012	plus	14		
9646	Ailuropoda melanoleuca	100472162	0	live	PGM2L1	PANDA_003343	phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		8	NC_048225.1	54262621	54310925	plus	15		
10036	Mesocricetus auratus	101837791	0	live	Pgm2		phosphoglucomutase 2	phosphoglucomutase-2		Un	NW_024429190.1	42840572	42867927	plus	14		
10036	Mesocricetus auratus	101833760	0	live	Pgm2l1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_024429182.1	98153783	98203571	minus	14		
9483	Callithrix jacchus	100405646	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		11	NC_071452.1	63239384	63324315	plus	14		
9483	Callithrix jacchus	100394215	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		3	NC_071444.1	152103420	152143000	minus	15		
9796	Equus caballus	100064893	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase|Phosphoglucomutase-2-like protein		3	NC_091686.1	95112788	95148318	minus	14		
9796	Equus caballus	100052026	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		7	NC_091690.1	71953617	72019466	plus	14		
9301	Sminthopsis crassicaudata	141563244	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		3	NC_133619.1	511820262	511891451	minus	14		
9301	Sminthopsis crassicaudata	141545370	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		6	NC_133622.1	28391192	28412816	plus	15		
92651	Macrotis lagotis	141518017	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		3	NC_133660.1	177934965	177969483	minus	14		
92651	Macrotis lagotis	141508341	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_133658.1	799250003	799332143	minus	14		
31919	Numenius arquata	141479396	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_133576.1	140531960	140589835	plus	16		
31919	Numenius arquata	141464568	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_133580.1	69260976	69284216	plus	14		
52775	Ciconia boyciana	140652556	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_132938.1	25849870	25871999	plus	14		
52775	Ciconia boyciana	140646675	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_132934.1	218846792	218888374	plus	17		
143281	Canis lupus baileyi	140622129	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		2	NC_132839.1	75875729	75914091	minus	14		
143281	Canis lupus baileyi	140614975	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		23	NC_132860.1	27761055	27816172	minus	14		
9315	Notamacropus eugenii	140511410	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		6	NC_092877.1	91813549	91845815	plus	15		
9315	Notamacropus eugenii	140505171	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		5	NC_092876.1	130880125	130968764	plus	15		
46218	Excalfactoria chinensis	140251249	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_092828.1	20546030	20565849	plus	15		
46218	Excalfactoria chinensis	140247379	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_092825.1	182040369	182079245	minus	14		
472823	Heliangelus exortis	139801509	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_092422.1	514140	541893	minus	10		
472823	Heliangelus exortis	139796099	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_092425.1	31254646	31299335	minus	15		
3385563	Pithys albifrons albifrons	139676018	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_092458.1	115958664	115987787	plus	14		
3385563	Pithys albifrons albifrons	139672491	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_092462.1	52761040	52779041	minus	14		
9191	Agelaius tricolor	139592527	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		Un	NW_027269268.1	41922221	41941315	minus	14		
9191	Agelaius tricolor	139585254	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_027269331.1	397799	421540	plus	14		
159337	Myotis yumanensis	139017337	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_027223761.1	44389542	44431259	minus	14		
159337	Myotis yumanensis	138996831	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		Un	NW_027223752.1	217412762	217445653	minus	14		
94247	Dipodomys merriami	138836407	0	live	Pgm2l1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_027203937.1	16480793	16533789	plus	14		
94247	Dipodomys merriami	138820679	0	live	Pgm2		phosphoglucomutase 2	phosphopentomutase		Un	NW_027206512.1	44560935	44590900	minus	14		
33595	Phaenicophaeus curvirostris	138735371	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_091392.1	194257939	194298266	plus	14		
33595	Phaenicophaeus curvirostris	138720202	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_091395.1	54600400	54622376	minus	14		
37174	Ovis canadensis	138442466	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		6	NC_091250.1	73534567	73572115	plus	14		
37174	Ovis canadensis	138420032	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		15	NC_091259.1	60679255	60752393	minus	18		
859984	Eulemur rufifrons	138399814	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		19	NC_091001.1	8997406	9029415	minus	14		
859984	Eulemur rufifrons	138384011	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		6	NC_090988.1	52828376	52873325	plus	14		
3040969	Petaurus breviceps papuanus	138148260	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_027187352.1	3271941	3361629	minus	14		
3040969	Petaurus breviceps papuanus	138146626	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		Un	NW_027185698.1	2478460	2510972	minus	14		
39617	Aphelocoma coerulescens	138109908	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_091017.1	56618296	56641224	minus	14		
34865	Capricornis sumatraensis	138092844	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		16	NC_091084.1	54323032	54377492	minus	14		
34865	Capricornis sumatraensis	138081971	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		7	NC_091075.1	59564010	59601404	plus	14		
28680	Anas acuta	137858306	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_088979.1	1438197	1479252	minus	16		
28680	Anas acuta	137855694	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_088982.1	23232363	23250091	plus	14		
9764	Eschrichtius robustus	137771503	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		11	NC_090834.1	60977640	61046724	plus	14		
9764	Eschrichtius robustus	137764221	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_090827.1	89473552	89507007	minus	15		
48427	Nyctibius grandis	137673939	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_090659.1	126457445	126505279	plus	15		
48427	Nyctibius grandis	137664879	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		6	NC_090663.1	26563752	26584593	plus	14		
187417	Anomalospiza imberbis	137473119	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_089684.1	64993473	65012350	plus	14		
187417	Anomalospiza imberbis	137468562	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_089682.1	30730117	30755274	plus	14		
211600	Melanerpes formicivorus	137440856	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		Un	NW_027142356.1	33370270	33394942	plus	14		
82174	Pseudorca crassidens	137230596	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		9	NC_090304.1	52917058	52988016	minus	14		
82174	Pseudorca crassidens	137223629	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_090299.1	62372138	62415648	plus	18		
84833	Molothrus aeneus	136571442	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_089647.1	446504	470271	plus	14		
84833	Molothrus aeneus	136555655	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_089649.1	51366416	51385302	minus	14		
249018	Saccopteryx leptura	136407083	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_089507.1	27010708	27046104	plus	14		
249018	Saccopteryx leptura	136394798	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_089503.1	59499443	59556062	minus	14		
48155	Sylvia atricapilla	136375315	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_089141.1	8895018	8921534	plus	14		
48155	Sylvia atricapilla	136360127	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_089143.1	10601823	10620462	minus	14		
59482	Saccopteryx bilineata	136337887	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_089494.1	238875160	238911446	minus	14		
59482	Saccopteryx bilineata	136317461	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_089490.1	346753821	346813458	plus	14		
190680	Chamaea fasciata	136303495	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_027094087.1	369220	395893	plus	14		
190680	Chamaea fasciata	136291029	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		Un	NW_027094091.1	22133554	22152425	plus	14		
9886	Muntiacus reevesi	136174350	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		9	NC_089257.1	37593817	37653427	plus	14		
9886	Muntiacus reevesi	136147867	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		16	NC_089264.1	53642603	53678744	plus	14		
9742	Phocoena phocoena	136126460	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		8	NC_089226.1	58037633	58103458	plus	14		
9742	Phocoena phocoena	136123313	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_089223.1	76529566	76562899	minus	14		
372321	Patagioenas fasciata	136101316	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_092523.1	24519833	24539591	plus	14		
372321	Patagioenas fasciata	136099634	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_092520.1	2018329	2068887	minus	14		
9017	Cyrtonyx montezumae	136054471	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_027072042.1	157718	182539	minus	14		
9017	Cyrtonyx montezumae	136049093	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		Un	NW_027071936.1	47957755	47975033	minus	15		
678569	Lathamus discolor	136024115	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		1	NC_088884.1	141654780	141674411	minus	14		
678569	Lathamus discolor	136014138	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		4	NC_088887.1	126992700	127036924	plus	15		
187106	Caloenas nicobarica	135997331	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_088245.1	214553783	214595885	plus	15		
187106	Caloenas nicobarica	135988209	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_088248.1	55541563	55559133	minus	15		
257770	Zonotrichia leucophrys gambelii	135455662	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_088169.1	116123725	116147257	minus	14		
257770	Zonotrichia leucophrys gambelii	135446473	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_088173.1	3877937	3898911	plus	15		
415032	Pseudopipra pipra	135413386	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_087552.1	53128877	53147643	minus	15		
415032	Pseudopipra pipra	135408979	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_087550.1	7588978	7618696	plus	14		
48849	Passer domesticus	135299404	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_087477.1	61988342	62023286	minus	17		
48849	Passer domesticus	135295110	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_087475.1	127198900	127223683	minus	14		
488313	Pogoniulus pusillus	135178303	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		9	NC_087272.1	33083862	33106235	plus	14		
488313	Pogoniulus pusillus	135175804	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		6	NC_087269.1	143555	156351	plus	14		
208062	Prinia subflava	134561925	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		25	NC_086271.1	5487191	5532859	minus	16		
208062	Prinia subflava	134552794	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		7	NC_086253.1	22121228	22139762	plus	14		
1192867	Chroicocephalus ridibundus	134515776	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_086288.1	66766791	66788170	plus	14		
1192867	Chroicocephalus ridibundus	134512497	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_086284.1	9349003	9392616	plus	14		
1914991	Melospiza melodia melodia	134418728	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_086198.1	74449851	74468563	minus	14		
1914991	Melospiza melodia melodia	134414950	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_086195.1	143581521	143605406	minus	14		
110931	Cynocephalus volans	134385979	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		9	NC_084468.1	33796178	33826402	plus	17		
110931	Cynocephalus volans	134375033	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		4	NC_084463.1	100236122	100304422	plus	15		
407982	Pezoporus occidentalis	134169501	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_026915451.1	213015	253793	minus	14		
407982	Pezoporus occidentalis	134163696	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		Un	NW_026913889.1	1577594	1597164	plus	14		
8795	Rhea pennata	134139830	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		4	NC_084666.1	24320402	24337758	plus	14		
8795	Rhea pennata	134135722	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		1	NC_084663.1	215296771	215350799	plus	15		
127875	Cinclus cinclus	134058172	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		2	NC_085047.1	638008	662460	plus	15		
127875	Cinclus cinclus	134044294	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		5	NC_085050.1	22109487	22128178	plus	14		
9983	Lepus europaeus	133774981	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		16	NC_084842.1	60181481	60227370	minus	14		
9983	Lepus europaeus	133764574	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		7	NC_084833.1	63818315	63870386	minus	15		
889875	Pezoporus flaviventris	133278233	0	live	PGM2		phosphoglucomutase 2	phosphopentomutase		Un	NW_026892550.1	20879701	20899236	plus	14		
889875	Pezoporus flaviventris	133262723	0	live	PGM2L1		phosphoglucomutase 2 like 1	glucose 1,6-bisphosphate synthase		Un	NW_026892763.1	452339	492280	minus	14		
